unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3520190923608_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,"Sangles à cliquet de 8,25 m x 50 mm avec Crochet J Master Lock","49,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/sangles-a-cliquet-de-8-25-m-x-50-mm-avec-crochet-j-master-lock/3520190923608_CAFR.prd
3520190923127_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,"Sangle à cliquet 4,5 m Master Lock Polyester","29,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/sangle-a-cliquet-4-5-m-master-lock-polyester/3520190923127_CAFR.prd
4710025138492_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,LOT DE 2 SANGLES D'ARRIMAGE A CLIQUET CATERPILLAR,"29,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-2-sangles-d-arrimage-a-cliquet-caterpillar/4710025138492_CAFR.prd
3662348034719_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,Lot de 10 tendeurs sandows sécurisés et normés - Bleu - Linxor,"26,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-10-tendeurs-sandows-s-curis-s-et-norm-s-bleu-linxor/3662348034719_CAFR.prd
4710025138584_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,LOT DE 4 SANGLES CATERPILLAR AVEC CROCHETS,59,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-4-sangles-caterpillar-avec-crochets/4710025138584_CAFR.prd
3662348034634_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,Lot de 10 tendeurs sandows élastiques auto-coinceur - 40 cm - Noir - Linxor,"21,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-10-tendeurs-sandows-lastiques-auto-coinceur-40-cm-noir-linxor/3662348034634_CAFR.prd
3662348048594_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,Lot de 10 tendeurs sandows sécurisés et normés avec passant piton - Gris - Linxor,"27,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-10-tendeurs-sandows-s-curis-s-et-norm-s-avec-passant-piton-gris-linxor/3662348048594_CAFR.prd
3662348034733_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,Lot de 10 tendeurs sandows sécurisés et normés - Noir - Linxor,"26,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-10-tendeurs-sandows-s-curis-s-et-norm-s-noir-linxor/3662348034733_CAFR.prd
4710025138560_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,sangle-et-accessoire,LOT DE 4 SANGLES D' ARRIMAGE A CLIQUET CATERPILLAR AVEC CROCHETS,99,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/sangle-et-accessoire/cat_id_2950.cat/departments/lot-de-4-sangles-d-arrimage-a-cliquet-caterpillar-avec-crochets/4710025138560_CAFR.prd
5052931072538_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de lit Diall H. 240 mm x 40 mm x 20 mm,"3,16",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-diall-h-240-mm-x-40-mm-x-20-mm/5052931072538_CAFR.prd
