category,is_page_list,url
"Moulure, corniche et rosace de plafond",False,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/moulure-de-plafond-corniche-et-rosace/cat_id_5060.cat
Tapis et paillasson,False,https://www.castorama.fr/decoration-interieure/decoration-textile/tapis-et-paillasson/cat_id_3074.cat
Kit dressing,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/kit-dressing/cat_id_3009.cat
Dressing,False,https://www.castorama.fr/rangement-dressing/dressing-et-armoire/dressing/cat_id_0001135.cat
Armoire penderie,False,https://www.castorama.fr/rangement-dressing/dressing-et-armoire/armoire/cat_id_0001136.cat
Portant vêtement,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/penderie-et-portant/cat_id_3020.cat
Meuble,False,https://www.castorama.fr/rangement-dressing/meuble-de-rangement/cat_id_0001137.cat
Rangement modulable,False,https://www.castorama.fr/rangement-dressing/solution-de-rangement-modulable-atomia/cat_id_0001150.cat
Porte de placard,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/porte-de-placard/cat_id_3885.cat
Etagère,False,https://www.castorama.fr/etagere/cat_id_0003248.cat
Rangement chaussures,False,https://www.castorama.fr/rangement-chaussures/cat_id_0003873.cat
Aménagement intérieur de placard,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/cat_id_3003.cat
Rangement bijoux,False,https://www.castorama.fr/rangement-bijoux/cat_id_0005267.cat
Paravent,False,https://www.castorama.fr/paravent/cat_id_0004383.cat
Aménagement bureau,False,https://www.castorama.fr/rangement-dressing/amenagement-bureau/cat_id_0001572.cat
Rangement garage et cave,False,https://www.castorama.fr/rangement-dressing/rangement-garage-et-cave/cat_id_3040.cat
Buanderie,False,https://www.castorama.fr/rangement-dressing/rangement-garage-et-cave/buanderie/cat_id_0001114.cat
Nos collections Rangement & Dressing,False,https://www.castorama.fr/rangement-dressing/nos-collections-rangement-dressing/cat_id_5211.cat
Meuble de salle de bains,False,https://www.castorama.fr/salle-de-bains-et-wc/meuble-de-salle-de-bains/cat_id_3393.cat
Douche,False,https://www.castorama.fr/salle-de-bains-et-wc/douche/cat_id_3371.cat
"Lavabo, vasque et plan vasque",False,https://www.castorama.fr/salle-de-bains-et-wc/lavabo-vasque-et-plan-vasque/cat_id_3928.cat
WC et lave-mains,False,https://www.castorama.fr/salle-de-bains-et-wc/wc-et-lave-mains/cat_id_3934.cat
Baignoire et accessoires,False,https://www.castorama.fr/salle-de-bains-et-wc/baignoire/cat_id_4350.cat
Colonne et pommeau de douche,False,https://www.castorama.fr/salle-de-bains-et-wc/colonne-et-pommeau-de-douche/cat_id_5154.cat
Robinet et mitigeur de salle de bains,False,https://www.castorama.fr/salle-de-bains-et-wc/robinet-de-salle-de-bains/cat_id_3401.cat
Accessoires de salle de bains,False,https://www.castorama.fr/salle-de-bains-et-wc/accessoires-de-salle-de-bains/cat_id_3323.cat
Salle de bains PMR,False,https://www.castorama.fr/salle-de-bains-et-wc/accessibilite-et-securite-de-la-salle-de-bains/cat_id_3497.cat
Sèche-serviettes,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/seche-serviettes/cat_id_333.cat
Buanderie,False,https://www.castorama.fr/rangement-dressing/rangement-garage-et-cave/buanderie/cat_id_0001114.cat
Panneau mural de salle de bains,False,https://www.castorama.fr/salle-de-bains-et-wc/douche/panneau-mural/cat_id_5425.cat
"Carrelage, faïence et mosaïque",False,https://www.castorama.fr/carrelage-sol/carrelage-sol-et-mural/cat_id_3304.cat
Peinture cuisine et salle de bains,False,https://www.castorama.fr/peinture/peinture-interieure/peinture-cuisine-et-salle-de-bains/cat_id_3627.cat
